brut	canonique	occurrences
augmentés	augmenté	4
immunomarquage	immunohistochimie	3
critère de genest	critère de Genest	3
bichoriale biamniotique	bichorionique biamniotique	2
jumeaux monochorioniques	monochorionique	2
candida	candidosique	2
diffuse	diffus	2
grossesse gémellaire	gémellaire	2
placenta gémellaire	gémellaire	2
monochoriale biamniotique	monochorionique diamniotique	2
massive	massif	1
high grade	haut grade	1
low grade	bas grade	1
centrale	central	1
localisation centrale	central	1
placenta monochorionique monoamniotique	monochorionique monoamniotique	1
jumeaux monochoriaux monoamniotiques	monochorionique monoamniotique	1
placenta monochorionique	monochorionique	1
entre jumeaux monochorioniques	monochorionique	1
placenta gémellaire monochorionique	monochorionique	1
normale	normal	1
aspect normal	normal	1
augmentée	augmenté	1
à cellules t	à cellules T	1
parvovirus b19	parvovirus B19	1
évaluation par rapport à l'âge gestationnel	selon l'âge gestationnel	1
stade focal	focal	1
stade étendu	étendu	1
extensive	étendu	1
profonde	profond	1
reliquat	résiduel	1
nécrosante	nécrosant	1
placenta gémellaire diamniotique monochorial	monochorionique diamniotique	1
accessoire	succenturié	1
associée au méconium	induite par le méconium	1
dispersé	épars	1
rétention > 6 jours	rétention supérieure à 6 jours	1
réactionnelle	réactionnel	1
globale	global	1
en clusters	en amas	1
pas-positif	PAS-positif	1
alcian blue positif	Alcian blue positif	1
rétention supérieure à 48 h	rétention > 48 h	1
