id	syndrome	syndrome_id	livre	chapitre	organe_llm	attribution	signe	verbatim	cand1	cand2	cand3	choix
954	1.1 Thanatophoric Dysplasia, Types 1 and 2 (MIM 187600, 187601)	ORPHA:2655	keeling	ch28_brain_malformations	brain	direct	temporal lobe malformation	In thanatophoric dysplasia, megalencephaly is associated with temporal lobe malformation	FOETO:PF.MUL-MAL-031 | Mégalencéphalie | multi_organe | 0.8	FOETO:PF.MUL-MET-149 | Hypoplasie temporale | multi_organe | 0.6		FOETO:PF.MUL-MET-149
955	1.1 Thanatophoric Dysplasia, Types 1 and 2 (MIM 187600, 187601)	ORPHA:2655	keeling	ch28_brain_malformations	brain	direct	abnormally developed temporal lobes	associating abnormally developed temporal lobes with abnormal radiating sulci and a lack of Ammon’s horn				NOUVEAU
956	1.1 Thanatophoric Dysplasia, Types 1 and 2 (MIM 187600, 187601)	ORPHA:2655	keeling	ch28_brain_malformations	brain	direct	abnormal radiating sulci	associating abnormally developed temporal lobes with abnormal radiating sulci and a lack of Ammon’s horn				NON
957	1.1 Thanatophoric Dysplasia, Types 1 and 2 (MIM 187600, 187601)	ORPHA:2655	keeling	ch28_brain_malformations	brain	direct	lack of Ammon’s horn	associating abnormally developed temporal lobes with abnormal radiating sulci and a lack of Ammon’s horn				NOUVEAU
958	1.1 Thanatophoric Dysplasia, Types 1 and 2 (MIM 187600, 187601)	ORPHA:2655	keeling	ch32_skeletal_system	cartilage	direct	normal cellular density with an abundant homogeneous matrix in resting cartilage	Histologically, the resting cartilage has normal cellular density with an abundant homogeneous matrix.	FOETO:PF.SQU-MAL-044 | Matrice cartilagineuse épiphysaire de densité diminuée et hétérogène | squelette | 0.54			NON
959	1.1 Thanatophoric Dysplasia, Types 1 and 2 (MIM 187600, 187601)	ORPHA:2655	keeling	ch32_skeletal_system	cartilage	direct	disorderly arrangement of hypertrophic chondrocytes	Hypertrophic chondrocytes are recognizable but in disorderly arrangement.				NOUVEAU
960	1.1 Thanatophoric Dysplasia, Types 1 and 2 (MIM 187600, 187601)	ORPHA:2655	keeling	ch32_skeletal_system	growth plate	direct	hypertrophy of the periphysis with penetration of the growth plate	The most characteristic abnormality is hypertrophy of the periphysis with penetration of the growth plate	FOETO:PF.MUL-MET-124 | Désorganisation de la plaque de croissance osseuse | multi_organe | 0.6	FOETO:PF.SQU-NOR-005 | Cartilage de croissance — zone hypertrophique | squelette | 0.6	FOETO:PF.SQU-MAL-067 | Raccourcissement de la zone hypertrophique de la plaque de croissance | squelette | 0.54	NOUVEAU
961	1.1 Thanatophoric Dysplasia, Types 1 and 2 (MIM 187600, 187601)	ORPHA:2655	keeling	ch32_skeletal_system	bone	direct	fibrous disorganization with formation of plump haphazardly arranged bony trabeculae	fibrous disorganization with formation of plump haphazardly arranged bony trabeculae is apparent				NOUVEAU
962	1.1 Thanatophoric Dysplasia, Types 1 and 2 (MIM 187600, 187601)	ORPHA:2655	keeling	ch32_skeletal_system	growth plate	contexte	irregular transition between bone and cartilage with occasional islands of fibrotic tissue	The epiphyseal growth plate of a 34 weeks gestational age-old fetus with an irregular transition between bone and cartilage with occasional islands of fibrotic tissue	FOETO:PF.MUL-MET-124 | Désorganisation de la plaque de croissance osseuse | multi_organe | 0.47			FOETO:PF.MUL-MET-124
963	1.1 Thanatophoric Dysplasia, Types 1 and 2 (MIM 187600, 187601)	ORPHA:2655	keeling	ch32_skeletal_system	growth plate	contexte	increased periosteal ossification and fibrotic tissue penetrating the growth zone from the groove of Ranvier	increased periosteal ossification and fibrotic tissue penetrating the growth zone from the groove of Ranvier	FOETO:PF.MUL-MET-243 | Périostose osseuse | multi_organe | 0.6			FOETO:PF.MUL-MET-243
1412	10.1 Greenberg Dysplasia (MIM 215140)	ORPHA:1426	genereviews	x-dcdp	skin	direct	dilated ostial hyperkeratosis of the hair follicle with keratin calcium deposits	Histologic examination of skin biopsies of individuals with EBP-CDPX show dilated ostial hyperkeratosis of the hair follicle with keratin calcium deposits	FOETO:PF.PEA-MAL-060 | Parakératose compacte | peau | 0.5	FOETO:PF.PEA-MAL-038 | Hyperkératose épidermique avec parakératose focale et acanthose | peau | 0.5	FOETO:PF.PEA-MAL-041 | Hyperplasie épidermique monstrueuse (fœtus arlequin) | peau | 0.5	NOUVEAU
1422	10.5 Chondrodysplasia Punctata, Brachytelephalangic Type (MIM 302950, 602497)		genereviews	x-dcdp	skin	direct	dilated ostial hyperkeratosis of the hair follicle with keratin calcium deposits	Histologic examination of skin biopsies of individuals with EBP-CDPX show dilated ostial hyperkeratosis of the hair follicle with keratin calcium deposits	FOETO:PF.PEA-MAL-060 | Parakératose compacte | peau | 0.5	FOETO:PF.PEA-MAL-038 | Hyperkératose épidermique avec parakératose focale et acanthose | peau | 0.5	FOETO:PF.PEA-MAL-041 | Hyperplasie épidermique monstrueuse (fœtus arlequin) | peau | 0.5	NOUVEAU
1015	10.5 Chondrodysplasia Punctata, Brachytelephalangic Type (MIM 302950, 602497)		keeling	ch32_skeletal_system	cartilage	direct	Stippled cartilage	Stippled cartilage				NOUVEAU
1020	10.5 Chondrodysplasia Punctata, Brachytelephalangic Type (MIM 302950, 602497)		spranger_entites	e10_5_ch_ondrodys_p_la_s_i_a_p_un_c_tata_b_rach_y_t_e_le_p_ha_la_ngi_c_t_yp_	cartilage and bone	direct	Punctate calcifications in laryngeal cartilage, sternum, coracoid process of the scapulae, triradiate cartilage, spine, and epiphyses of the hip and shoulder	Punctate calcifications are seen in the laryngeal cartilage, sternum, coracoid process of the scapulae, triradiate cartilage, spine, and epiphyses of the hip and shoulder	FOETO:PP.PAR-MET-004 | Calcifications | parenchyme | 1.0			NOUVEAU
1021	10.5 Chondrodysplasia Punctata, Brachytelephalangic Type (MIM 302950, 602497)		spranger_entites	e10_5_ch_ondrodys_p_la_s_i_a_p_un_c_tata_b_rach_y_t_e_le_p_ha_la_ngi_c_t_yp_	spine	direct	Vertebral bodies hypoplastic and stippled in ossification	All vertebral bodies are hypoplastic and stippled in ossification				NON
1022	10.5 Chondrodysplasia Punctata, Brachytelephalangic Type (MIM 302950, 602497)		spranger_entites	e10_5_ch_ondrodys_p_la_s_i_a_p_un_c_tata_b_rach_y_t_e_le_p_ha_la_ngi_c_t_yp_	spine and femur	direct	Puncta confined to cervical and lumbosacral spine and proximal femora	Puncta are confined to the cervical and lumbosacral spine and proximal femora				NON
1023	10.5 Chondrodysplasia Punctata, Brachytelephalangic Type (MIM 302950, 602497)		spranger_entites	e10_5_ch_ondrodys_p_la_s_i_a_p_un_c_tata_b_rach_y_t_e_le_p_ha_la_ngi_c_t_yp_	spine	direct	Ossification of cervical vertebral bodies defective and stippled	Ossification of cervical vertebral bodies is defective and stippled				NON
1024	10.5 Chondrodysplasia Punctata, Brachytelephalangic Type (MIM 302950, 602497)		spranger_entites	e10_5_ch_ondrodys_p_la_s_i_a_p_un_c_tata_b_rach_y_t_e_le_p_ha_la_ngi_c_t_yp_	hand and foot	direct	Puncta present in phalangeal and tarsal regions	Puncta are present in the phalangeal and tarsal regions				NON
1025	10.5 Chondrodysplasia Punctata, Brachytelephalangic Type (MIM 302950, 602497)		spranger_entites	e10_5_ch_ondrodys_p_la_s_i_a_p_un_c_tata_b_rach_y_t_e_le_p_ha_la_ngi_c_t_yp_	hand	direct	Phalangeal and metacarpal ossification very irregular	Phalangeal and metacarpal ossification is very irregular				NON
1026	10.5 Chondrodysplasia Punctata, Brachytelephalangic Type (MIM 302950, 602497)		spranger_entites	e10_5_ch_ondrodys_p_la_s_i_a_p_un_c_tata_b_rach_y_t_e_le_p_ha_la_ngi_c_t_yp_	foot	direct	Calcaneus stippled	The calcaneus is stippled				NON
1398	10.7 Chondrodysplasia Punctata, Tibia- Metacarpal Type (MIM 118651)		genereviews	x-dcdp	skin	direct	dilated ostial hyperkeratosis of the hair follicle with keratin calcium deposits	Histologic examination of skin biopsies of individuals with EBP-CDPX show dilated ostial hyperkeratosis of the hair follicle with keratin calcium deposits	FOETO:PF.PEA-MAL-060 | Parakératose compacte | peau | 0.5	FOETO:PF.PEA-MAL-038 | Hyperkératose épidermique avec parakératose focale et acanthose | peau | 0.5	FOETO:PF.PEA-MAL-041 | Hyperplasie épidermique monstrueuse (fœtus arlequin) | peau | 0.5	NOUVEAU
942	10.7 Chondrodysplasia Punctata, Tibia- Metacarpal Type (MIM 118651)		keeling	ch32_skeletal_system	cartilage	direct	Stippled cartilage	Stippled cartilage				NOUVEAU
311	11.2 Ellis Van Creveld Syndrome (MIM 255500)	ORPHA:289	soffoet	ch13_squelette	bone	direct	convexity of the ossification line and radial arrangement of primary trabeculae	en histologie, à faible grossissement la ligne d’ossification est nettement convexe et les travées primaires s’agencent nettement de façon radiaire	FOETO:PF.SQU-NOR-007 | Centre d'ossification primaire | squelette | 0.6			NON
312	11.2 Ellis Van Creveld Syndrome (MIM 255500)	ORPHA:289	soffoet	ch13_squelette	bone	direct	thick primary bone	l’os primaire est épais				NOUVEAU
313	11.2 Ellis Van Creveld Syndrome (MIM 255500)	ORPHA:289	soffoet	ch13_squelette	growth plate	direct	highly variable growth plate aspect	à fort grossissement, la plaque de croissance a un aspect très variable d’une zone à l’autre	FOETO:PF.MUL-MET-124 | Désorganisation de la plaque de croissance osseuse | multi_organe | 0.6	FOETO:PF.SQU-MAL-060 | Plaque de croissance très hétérogène d'une zone à l'autre | squelette | 0.58	FOETO:PF.SQU-MAL-067 | Raccourcissement de la zone hypertrophique de la plaque de croissance | squelette | 0.42	FOETO:PF.SQU-MAL-060
314	11.2 Ellis Van Creveld Syndrome (MIM 255500)	ORPHA:289	soffoet	ch13_squelette	growth plate	direct	short growth plate	à peine différenciée, ou très courte	FOETO:PF.MUL-MET-124 | Désorganisation de la plaque de croissance osseuse | multi_organe | 0.6			FOETO:PF.SQU-MAL-059
315	11.2 Ellis Van Creveld Syndrome (MIM 255500)	ORPHA:289	soffoet	ch13_squelette	growth plate	direct	thick, poorly oriented, reticulated directive trabeculae	et donne des travées directrices épaisses, et mal orientées, réticulées	FOETO:PF.SQU-MAL-075 | Travées d'os primaire épaisses et mal orientées | squelette | 0.6			FOETO:PF.SQU-MAL-075
316	11.2 Ellis Van Creveld Syndrome (MIM 255500)	ORPHA:289	soffoet	ch13_squelette	growth plate	direct	abnormal shift between collar and cartilage	on retrouve le décalage anormal entre la virole (*) et le cartilage, typique de la famille des nanismes à côtes courtes	FOETO:PF.SQU-MAL-022 | Côtes courtes | squelette | 0.8			NON
1333	11.6 Cranioectodermal Dysplasia (MIM 218330)	ORPHA:1515	genereviews	ce-dysp	kidney	direct	interstitial fibrosis with focal inflammatory cell infiltrates, tubular atrophy, glomerulosclerosis, and occasional cysts	Renal biopsy shows interstitial fibrosis with focal inflammatory cell infiltrates, tubular atrophy, glomerulosclerosis, and occasional cysts	FOETO:PF.REN-MAL-034 | Kystes glomérulaires | rein | 0.9	FOETO:PF.REN-DYS-001 | Dysgenèse tubulaire rénale | rein | 0.47	FOETO:PF.MUL-MET-183 | Kyste rénal cortical | multi_organe | 0.47	NOUVEAU
1334	11.6 Cranioectodermal Dysplasia (MIM 218330)	ORPHA:1515	genereviews	ce-dysp	liver	direct	bile duct proliferation	Liver cirrhosis, severe cholestasis with bile duct proliferation, and acute cholangitis have been described in infants	FOETO:PF.FOI-MAL-009 | Cellules cytomégaliques dans les canaux biliaires | foie | 0.6			NOUVEAU
1413	12.4 MESOMELIC DYSPLASIA , LANGERTYPE ( MIM 249700 )		genereviews	lwd	growth plate	direct	atypical proliferation and differentiation of chondrocytes	In the absence of normal SHOX, chondrocytes may undergo atypical proliferation and differentiation				NOUVEAU
375	13.11 Acrocapitofemoral Dysplasia (MIM 607778)	ORPHA:63446	spranger_entites	e13_11_ac_roca_p_i_t_ofe_m_ora_l_dy_splas_i_a_m_i_m_6_0_7_7_7_8	hands and hips	direct	cone-shaped epiphyses	Homozygous mutations in IHH cause acrocapitofemoral dysplasia, an autosomal recessive disorder with cone-shaped epiphyses in hands and hips.				NON
376	13.11 Acrocapitofemoral Dysplasia (MIM 607778)	ORPHA:63446	spranger_entites	e13_11_ac_roca_p_i_t_ofe_m_ora_l_dy_splas_i_a_m_i_m_6_0_7_7_7_8	hands and hips	direct	cone shaped epiphyses	Acrocapitofemoral dysplasia: an autosomal recessive skeletal dysplasia with cone shaped epiphyses in hands and hips.				NON
377	13.11 Acrocapitofemoral Dysplasia (MIM 607778)	ORPHA:63446	spranger_entites	e13_11_ac_roca_p_i_t_ofe_m_ora_l_dy_splas_i_a_m_i_m_6_0_7_7_7_8	phalanges	contexte	Small epiphyseal ossification centers	Small epiphyseal ossification centers are attached to some of the proximal and middle phalanges	FOETO:PF.SQU-NOR-007 | Centre d'ossification primaire | squelette | 0.6	FOETO:PF.SQU-NOR-008 | Centre d'ossification épiphysaire du fémur distal | squelette | 0.54		NON
380	13.11 Acrocapitofemoral Dysplasia (MIM 607778)	ORPHA:63446	spranger_entites	e13_11_ac_roca_p_i_t_ofe_m_ora_l_dy_splas_i_a_m_i_m_6_0_7_7_7_8	metacarpals and phalanges	contexte	complete fusion of the epiphyses to the metaphyses	The metacarpals and phalanges are short and broad with complete fusion of the epiphyses to the metaphyses.				NON
381	13.11 Acrocapitofemoral Dysplasia (MIM 607778)	ORPHA:63446	spranger_entites	e13_11_ac_roca_p_i_t_ofe_m_ora_l_dy_splas_i_a_m_i_m_6_0_7_7_7_8	radius and ulna	contexte	Fine residuals of the growth plates	Fine residuals of the growth plates are still visible in the distal radius and ulna.				NON
