referentiel	importance	entite	verdict	verbatim_verifie	terme_existant	label_fr	label_en	lesion	site	qualifieurs	pattern	niveau	criteres	citation	verbatim	raison
ACCRETA	haute	Placenta accreta / adherenta (FIGO grade 1)	confirmee	oui		Placenta accreta / adherenta (FIGO grade 1)	Placenta accreta / adherenta (FIGO grade 1)	adhérence anormale du placenta au myomètre par perte de la couche déciduale, sans invasion myométriale	plaque basale — interface décidue basale / myomètre	grade 1 FIGO, non invasif, absence de décidue interposée, fibres myométriales au contact des villosités ou de la fibrine de Rohr	focal ou total (partiel selon l'étendue de la surface basale atteinte)	entite	Perte de la couche déciduale séparant normalement le placenta du myomètre, avec villosités choriales adjacentes au myomètre — le plus souvent avec interposition de fibrine et de trophoblaste extravilleux entre villosités et myomètre. Fibres myométriales adhérentes à la plaque basale au contact des villosités basales et/ou de la fibrine de Rohr (« accreta histologique »). Absence d'amincissement macroscopique de la paroi utérine et absence de nids invasifs entourés de myomètre (qui définiraient l'increta, grade 2). Diagnostic nécessitant de multiples prélèvements, tous les blocs n'étant pas diagnostiques.	benirschke ch14	The diagnostic feature of PAS is the loss of this decidual layer. PAS is graded based on the degree of disruption of the uterine wall.	Les extraits documentent explicitement la gradation FIGO du spectre accreta, dont le grade 1 (adhérence non invasive, sans amincissement de la paroi utérine), avec ses critères histologiques (perte de la couche déciduale, villosités au contact du myomètre ou de la fibrine de Rohr). Le vocabulaire ne comporte que le chapeau « Placenta accreta spectrum » et aucun terme de grade.
ACCRETA	haute	Placenta increta (FIGO grade 2)	confirmee	oui		Placenta increta (grade 2 du spectre accreta)	Placenta increta (PAS/FIGO grade 2)	invasion villositaire et trophoblastique du myomètre	interface placento-myométriale / myomètre	grade 2 du spectre accreta, absence de décidue basale et de fibrinoïde de Nitabuch, amincissement et dégénérescence des fibres myométriales, sans atteinte de la séreuse	focal ou diffus au site d'implantation	entite	Absence focale ou complète de décidue basale et du fibrinoïde de Nitabuch, avec villosités et îlots trophoblastiques infiltrant le myomètre superficiel ou profond, sans franchissement de la séreuse (préservation d'au moins 25 % de l'épaisseur de la paroi utérine dans la gradation PAS 2 ; invasion n'excédant pas 75 % du myomètre). Se traduit plus souvent par un amincissement marqué du myomètre que par des nids invasifs entourés de muscle ; dégénérescence des fibres myométriales (mieux vue au trichrome ou à l'actine musculaire lisse) et intrusion villositaire dans les espaces vasculaires myométriaux. Plusieurs prélèvements du site d'implantation, à distance de la cicatrice de césarienne, sont nécessaires.	benirschke ch14	PAS Grade 2  – superficial invasion: sections show an irregular placental/myometrial interface with invasion not to exceed 75% of the myometrium.	Les extraits décrivent explicitement le placenta increta comme entité distincte du spectre accreta (invasion villositaire dans l'épaisseur du myomètre, grade 2), avec ses critères histologiques propres. Le vocabulaire ne contient que le chapeau « Placenta accreta spectrum » et « Invasion trophoblastique myométriale » (invasion trophoblastique extravilleuse, non gradée), aucun terme ne désigne l'increta.
ACCRETA	haute	Placenta percreta (FIGO grade 3), sous-grades 3a (séreuse utérine), 3b (vessie), 3c (autres organes pelviens)	confirmee	oui		Placenta percreta (PAS/FIGO grade 3 : 3a séreuse, 3b vessie, 3c autres organes pelviens)	Placenta percreta (PAS/FIGO grade 3: 3a serosa, 3b bladder, 3c other pelvic organs)	invasion trophoblastique transmurale avec effraction de la séreuse utérine et/ou extension aux organes pelviens	interface placento-myométriale / paroi utérine complète (myomètre, séreuse) et organes de voisinage (vessie, paramètres, rectum)	gradation FIGO 2019, sous-grade 3a (séreuse), sous-grade 3b (vessie), sous-grade 3c (autres organes pelviens), correspondance PAS grade 3D/3E de Benirschke	focal ou segmentaire, siégeant préférentiellement sur cicatrice de césarienne du segment inférieur	entite	Absence de décidue à l'interface placento-myométriale (critère du spectre PAS) avec invasion villositaire et trophoblastique dépassant 75 % de l'épaisseur myométriale ET effraction de la séreuse utérine (3a / PAS grade 3D) ; extension aux structures extra-utérines — vessie (3b) ou autres organes pelviens (3c) — définissant le PAS grade 3E. L'encrage de la surface externe de l'utérus au site suspect permet de vérifier la présence ou l'absence de muscle résiduel sur les coupes, la région séreuse pouvant se fragmenter à la coupe. Trichrome ou actine musculaire lisse utiles ; intrusion villositaire dans les espaces vasculaires myométriaux et augmentation du trophoblaste extravilleux profond fréquentes. Prélèvements multiples nécessaires, en dehors de la seule cicatrice.	benirschke ch14	PAS Grade 3D – deep invasion with breach of the serosa.	Le corpus décrit explicitement le grade 3 du spectre PAS avec ses sous-grades (invasion profonde, effraction de la séreuse utérine, envahissement des structures extra-utérines dont la vessie), or le vocabulaire ne contient que le chapeau « Placenta accreta spectrum » et « Invasion trophoblastique myométriale », sans aucun terme pour le percreta ni sa gradation.
ACCRETA	haute	Absence de décidue basale entre villosités et myomètre (critère histologique diagnostique du PAS)	confirmee	oui		Absence de décidue basale interposée entre villosités choriales et myomètre	Absence of intervening (basal) decidua between chorionic villi and myometrium	défaut / perte de la couche déciduale basale interposée	plaque basale — interface villosités choriales / myomètre	critère histologique diagnostique du PAS, villosités au contact du myomètre ou de la fibrine de Rohr, décidue réduite à ≤ 2 assises cellulaires (accreta focal suggéré), IHC actine musculaire lisse en appoint facultatif	focal ou étendu le long de la plaque basale, souvent nécessitant de multiples prélèvements	element	Sur coupes de la plaque basale (ou pièce d'hystérectomie) : villosités choriales implantées directement sur des fibres myométriales, sans couche de décidue interposée ; contact des fibres myométriales avec les villosités basales et/ou la fibrine de Rohr = « accreta histologique ». Lorsque la décidue interposée est réduite à deux assises cellulaires ou moins, on parle de fibres myométriales de la plaque basale « avec modifications évocatrices d'accreta focal ». Le spectre est défini par l'épaisseur de décidue résiduelle entre myomètre, villosités et fibrine basale, de normale à absente ; le diagnostic peut exiger de multiples coupes, toutes les lames ne montrant pas les critères. Associations fréquentes : poids placentaire diminué, hémorragie intra-utérine/caillot rétroplacentaire, malperfusion vasculaire maternelle, villite basale chronique, déciduite plasmocytaire.	benirschke ch14	A layer of decidualized endometrium normally separates the placenta  from the myometrium. The diagnostic feature of PAS is the loss of this  decidual layer.	Les extraits définissent explicitement le placenta accreta par l'implantation des villosités choriales sur le myomètre sans décidue interposée, la perte de la couche déciduale étant le critère histologique diagnostique. Le vocabulaire ne comporte que l'entité clinique « Placenta accreta spectrum », l'« Invasion trophoblastique myométriale » et les « Cellules musculaires lisses myométriales dans la décidua » (fibres myométriales de la plaque basale), mais aucun élément codant l'absence/raréfaction de la décidue basale interposée.
ACCRETA	moyenne	Absence / interruption de la couche fibrinoïde de Nitabuch	rejetee	non												Les extraits décrivent au contraire la strie de Nitabuch comme normalement incomplète, se dédoublant et se rejoignant avec interposition de cellules trophoblastiques ou déciduales : son interruption n'est donc pas un critère morphologique fiable ni une entité nosologique. Ce qui est décrit comme absent dans le placenta accreta spectrum est la zone de clivage/décidua sous-jacente avec villosités d'ancrage adhérant ou envahissant le myomètre, déjà codé par « Placenta accreta spectrum » et « Invasion trophoblastique myométriale ».
ACCRETA	moyenne	Villosités au contact direct des fibres musculaires lisses myométriales (contact villo-myométrial)	confirmee	oui		Contact villo-myométrial direct (accreta histologique)	Chorionic villi in direct contact with myometrium (histologic accreta)	contact direct des villosités choriales avec les fibres musculaires lisses myométriales, sans décidue interposée	plaque basale / interface villosités–myomètre	accreta histologique, absence de décidue interposée, fibrine de Rohr/Nitabuch éventuellement interposée, sur placenta délivré ou pièce d'hystérectomie	focal ou étendu le long de la plaque basale	element	Sur coupes de plaque basale orientées sur tranche (H&E), présence de fibres musculaires lisses myométriales (cytoplasme éosinophile, noyaux en cigare, disposition longitudinale ou en coupe transversale) directement au contact des villosités choriales basales et/ou de la fibrine de Rohr, sans couche déciduale interposée ; un trophoblaste extravilleux ou de la fibrine de Nitabuch peuvent s'interposer, voire de la décidue focale. Sur hystérectomie, implantation des villosités sur le myomètre sans décidue intermédiaire = accreta ; extension dans le myomètre = increta ; traversée du myomètre avec perforation séreuse = percreta. Actine musculaire lisse possible mais non recommandée en routine.	benirschke ch14	In accreta, chorionic villi are in direct contact with the myo- metrium [26] although there may be intervening extravillous trophoblast and Nitabuch’s fibrin seen and even occasionally focal decidua.	Les extraits documentent explicitement le critère histologique du contact direct villosités–myomètre sans décidue interposée (« histologic accreta »), qui n'est décrit par aucun terme du vocabulaire : « Placenta accreta spectrum » est l'entité clinique gradée, « Invasion trophoblastique myométriale » concerne le trophoblaste extravilleux et « Cellules musculaires lisses myométriales dans la décidua » est une structure, pas la relation villo-myométriale.
ACCRETA	basse	Cicatrice de césarienne / déhiscence myométriale associée au PAS	confirmee	oui		Implantation sur cicatrice de césarienne avec déhiscence / amincissement myométrial (contexte du PAS)	Caesarean scar implantation with myometrial dehiscence/thinning (PAS setting)	implantation placentaire sur tissu cicatriciel avec amincissement ou déhiscence de la paroi utérine	myomètre du segment utérin inférieur / cicatrice d'hystérotomie et plaque basale sus-jacente	cicatriciel, amincissement myométrial, déhiscence, segment inférieur, associé au placenta accreta spectrum	focal, limité au site cicatriciel	entite	Villosités/placenta adhérant en regard d'une cicatrice de césarienne, avec paroi utérine amincie ou déhiscente sous le lit placentaire (grades 2–3 du PAS) ; décidue absente ou réduite, fibrose cicatricielle du myomètre. L'adhérence à la cicatrice seule ne suffit pas au diagnostic de PAS : celui-ci exige la preuve d'une invasion myométriale, d'où la nécessité de prélever aussi à distance de la cicatrice. À différencier de l'amincissement physiologique d'une cicatrice antérieure, en l'absence de bande d'invasion villositaire avec fibrose.	benirschke ch14	cesarean scar with implantation of the pregnancy in the pouch, has been shown to be highly associated with PAS [50, 51].	Les extraits documentent explicitement l'implantation sur cicatrice de césarienne et la déhiscence/amincissement myométrial comme contexte anatomique du PAS ; aucun terme du vocabulaire ne décrit ce substrat cicatriciel (seuls « Placenta accreta spectrum », « Invasion trophoblastique myométriale » et « Implantation superficielle du placenta » existent).
ACCRETA	basse	Placenta praevia (accreta praevia)	confirmee	oui		Placenta praevia (implantation basse / recouvrante)	Placenta praevia (previa)	implantation anormalement basse du disque placentaire recouvrant ou avoisinant l'orifice cervical interne	segment inférieur utérin / bord placentaire et orifice cervical interne	recouvrant (major), bas-inséré (< 20 mm, minor), bord placentaire disrupté et hémorragique, caillots anciens organisés, association au placenta accreta spectrum, insertion marginale ou vélamenteuse du cordon associée	focale, limitée au bord placentaire bas-inséré / segmentaire	entite	Diagnostic essentiellement clinico-échographique : placenta recouvrant l'orifice cervical interne (praevia proprement dit) ou bord placentaire à moins de 20 mm de l'orifice (placenta bas-inséré) ; anciennes gradations 1 à 4 (mineur, marginal, partiel, complet). À l'examen du placenta délivré : absence de marge libre des membranes (distance rupture–bord nulle), bord placentaire disrupté et hémorragique, caillots anciens laminés bruns à verdâtres, vaisseaux choriaux marginaux rompus, portions basses parfois atrophiques ou infarcies ; fréquence accrue d'insertion cordonale marginale/anormale et de circumvallation. Rechercher systématiquement un spectre accreta associé (fibres myométriales de la plaque basale).	benirschke ch17	In major placenta previa, the placenta shows either partial or complete overlap with the internal cervical os.	Le placenta praevia est largement documenté dans les extraits (chapitre dédié de Benirschke sur les aberrations de forme/siège, définitions sonographiques, corrélats macroscopiques, association au spectre accreta) et aucun terme du vocabulaire ne le désigne : seuls « Vasa praevia » et « Implantation superficielle du placenta » existent, qui sont des entités distinctes.
AMSTERDAM	haute	MIR grade 2 (chorioamnionite aiguë sévère : polynucléaires confluents, ≥ 3 foyers)	deja_couverte	oui	foeto_grades: MEM-INF-010/011/012 grade 2	MIR Grade 2 — Chorioamnionite aiguë sévère	MIR Grade 2 — severe acute chorioamnionitis	inflammation aiguë sévère (polynucléaires confluents / microabcès)	membranes extraplacentaires et plaque choriale (chorion, amnios, zone sous-choriale)	aigu, sévère, grade 2, réponse inflammatoire maternelle, confluent, microabcès sous-choriaux	confluent, focal à diffus	pattern	Gradation de la réponse inflammatoire maternelle, applicable quel que soit le stade (1 à 3) : grade 2 = infiltrat sévère, avec polynucléaires neutrophiles confluents et/ou microabcès sous-choriaux (par opposition au grade 1, non sévère selon ces critères). Exemples illustrés : subchorionite aiguë avec abcès (stade 1, grade 2) ; chorioamnionite aiguë sévère diffuse avec nécrose de la membrane amniotique (stade 3, grade 2).	amsterdam ch1	Grade 2—severe: confluent polymorphonuclear leukocytes or with subchorionic microabscesses	Le grade est un axe, pas une entité : il vit dans foeto_grades, attaché à chaque terme de stade. Critère de grade 2 réécrit sur le texte d'Amsterdam le 2026-08-06.
AMSTERDAM	haute	Nœud vrai du cordon ombilical	confirmee	oui		Nœud vrai du cordon ombilical	True umbilical cord knot	nœud vrai (lésion mécanique par passage du fœtus dans une boucle du cordon)	cordon ombilical	serré, lâche, avec obstruction veineuse, congestion d'aval, thrombose associée, empreinte persistante après dénouage	focal	entite	Macroscopie : boucle réellement nouée du cordon (incidence 0,04–1,5 % des accouchements), à distinguer du faux nœud (pseudo-nœud non mécanique par redondance vasculaire ou excès de gelée de Wharton). Nœud lâche = sans obstruction, sans conséquence clinique. Nœud serré = empreintes / sillons profonds persistant après dénouage, compression des lumières vasculaires et raréfaction de la gelée de Wharton au site, congestion du versant placentaire par obstruction veineuse prédominante, parfois hémorragie dans la gelée de Wharton. Rechercher systématiquement une thrombose de la veine ombilicale ou des veines de la plaque choriale (calcifications pariétales si ancienne). Histologie : diminution de la gelée de Wharton, collapsus aigu des lumières vasculaires des villosités souches, dépôts de fibrine, septation intraluminale réactionnelle en cas de trouble de perfusion ancien. Association : cordon long, hydramnios, jumeaux monoamniotiques, cause de mort fœtale in utero ou per-partum.	benirschke ch16	Although knots are important clinical findings, with an associated fetal mortality of around 10% [447], it is surprising how little has been written about them.	Le nœud vrai du cordon est une entité funiculaire documentée dans les trois ouvrages (chapitre dédié chez Khong 2019, Vogel ch3, Benirschke ch16) et aucun terme du vocabulaire ne le désigne : « Nœuds syncytiaux (vrais) » concerne le syncytiotrophoblaste et « Torsion / coarctation du cordon ombilical » est une lésion distincte.
