referentiel	importance	entite	raison
ACCRETA	haute	Placenta accreta / adherenta (FIGO grade 1)	Le vocabulaire ne contient que le chapeau « Placenta accreta spectrum » ; aucun terme ne désigne le grade 1 (villosités adhérentes à la surface myométriale sans invasion), ni le synonyme « adherenta ».
ACCRETA	haute	Placenta increta (FIGO grade 2)	Aucun terme d'invasion villositaire dans l'épaisseur du myomètre. « Invasion trophoblastique myométriale » désigne l'invasion trophoblastique physiologique/extravilleuse et ne grade pas l'increta.
ACCRETA	haute	Placenta percreta (FIGO grade 3), sous-grades 3a (séreuse utérine), 3b (vessie), 3c (autres organes pelviens)	Aucun terme pour la traversée de la séreuse ni pour l'extension vésicale ou pelvienne ; les trois sous-grades FIGO sont totalement absents.
ACCRETA	haute	Absence de décidue basale entre villosités et myomètre (critère histologique diagnostique du PAS)	Le vocabulaire a « Décidue basale normale », « Nécrose déciduale », « Cellules musculaires lisses myométriales dans la décidua », mais aucun terme d'absence/défaut de décidue basale interposée, qui est le critère microscopique fondateur du diagnostic.
ACCRETA	moyenne	Absence / interruption de la couche fibrinoïde de Nitabuch	« Fibrinoïde de Nitabuch » et « Fibrine de Rohr et fibrine de Nitabuch » ne figurent qu'en tant que structures normales ; la perte de cette couche, signe classique de l'accreta, n'est pas codée.
ACCRETA	moyenne	Villosités au contact direct des fibres musculaires lisses myométriales (contact villo-myométrial)	Aucun élément descriptif de l'interface villosités/myomètre sur pièce d'hystérectomie ou fragment de plaque basale ; le vocabulaire n'offre que des structures normales de plaque basale.
ACCRETA	basse	Cicatrice de césarienne / déhiscence myométriale associée au PAS	Le contexte anatomique du PAS (implantation sur cicatrice, amincissement/déhiscence myométriale) n'est représenté par aucun terme ; seul « Implantation superficielle du placenta » existe, qui décrit l'inverse.
ACCRETA	basse	Placenta praevia (accreta praevia)	Le vocabulaire contient « Vasa praevia » mais aucun terme de placenta praevia, situation topographique constitutive du spectre accreta dans FIGO 2019.
AMSTERDAM	haute	MIR grade 2 (chorioamnionite aiguë sévère : polynucléaires confluents, ≥ 3 foyers)	Le vocabulaire contient « MIR Grade 1 » et « MIR Grade 1 — Abcès décidual », ainsi que les trois stades MIR (1, 2, 3), mais aucun terme de grade 2 de la réponse inflammatoire maternelle. La gradation MIR est donc tronquée : le grade sévère, seul discriminant pronostique, est absent.
AMSTERDAM	haute	Nœud vrai du cordon ombilical	Aucun terme de nœud du cordon. « Nœuds syncytiaux (vrais) » et « Faux nœuds syncytiaux (artéfact de section) » concernent le syncytiotrophoblaste, pas le cordon. La liste des anomalies funiculaires d'Amsterdam (hyper/hypospiralisation, AOU, insertion vélamenteuse, insertion furcate, torsion/coarctation) est couverte sauf le nœud vrai — et le faux nœud n'existe pas non plus.
AMSTERDAM	moyenne	Microabcès sous-chorionique (critère de sévérité du MIR grade 2)	Le vocabulaire a « Infiltrat neutrophilique intervillositaire et intravillositaire (microabcès) », « Micro-abcès placentaires en cocarde (listériose) » et « Microabcès sous-amniotiques du cordon (Candida) », mais pas le microabcès sous-chorial de la plaque choriale, qui est le critère histologique explicite du grade 2 d'Amsterdam.
AMSTERDAM	moyenne	Macrophages spumeux pariétaux / artériopathie déciduale à cellules spumeuses	L'athérose aiguë est définie par Amsterdam comme nécrose fibrinoïde pariétale + macrophages spumeux. Le vocabulaire a bien « Athérose aiguë déciduale », « Athérose aiguë des artères spiralées », « Nécrose fibrinoïde pariétale des artères spiralées », mais aucun terme élémentaire pour les macrophages/cellules spumeuses de la paroi, ni la forme d'artériopathie déciduale à cellules spumeuses.
AMSTERDAM	moyenne	Déciduite chronique à plasmocytes	Le vocabulaire a le chapeau (« Déciduite chronique », « Inflammation chronique déciduale », « Périvasculite chronique déciduale ») mais pas la forme plasmocytaire, seule retenue comme significative par Amsterdam. Le terme plasmocytaire existe seulement pour la villosité (« Villite chronique lympho-plasmocytaire », « Infiltrat plasmocytaire villositaire »).
AMSTERDAM	moyenne	Cordon grêle (diamètre réduit / hypoplasie du cordon)	Item macroscopique de la MVM. Le vocabulaire a le contraire (« Cordon ombilical épaissi avec excès de gelée de Wharton », « Œdème de la gelée de Wharton ») et les longueurs (court/long), et seulement l'équivalent histologique partiel « Déficit en gelée de Wharton » ; le descripteur macroscopique de cordon grêle manque.
AMSTERDAM	moyenne	Infarctus de siège central (et seuil > 5 % du parenchyme)	Le vocabulaire décline abondamment l'infarctus par ancienneté (récent, subaigu, ancien, villosités fantômes) et la topographie marginale (« Infarctus marginal »), mais pas l'infarctus central ni la notion d'étendue quantifiée, qui sont les deux critères de significativité MVM d'Amsterdam.
AMSTERDAM	moyenne	FIR grade 2 — atténuation / dégénérescence du muscle lisse vasculaire avec polynucléaires intramuraux quasi confluents	Le libellé « FIR Grade 2 » existe mais est rattaché à la funiculite nécrosante (qui est le stade 3) ; l'élément histologique définissant le grade 2 selon Amsterdam — atténuation du muscle lisse vasculaire ombilical — n'a aucun terme dans le vocabulaire. La gradation FIR est donc partiellement, et de façon confuse, couverte.
AMSTERDAM	basse	Thrombus non occlusifs (critère de FVM globale)	Le vocabulaire recense de nombreux thrombus fœtaux (récent, organisé, calcifié, gros vaisseaux) mais aucun ne porte le caractère non occlusif, qui est le critère explicite du pattern global (obstruction partielle) d'Amsterdam, à côté de l'ectasie vasculaire (présente) et des foyers dispersés de caryorrhexie (présents).
