id	label_fr	label_en
FOETO:PP.PAR-MAL-003	Placenta accreta spectrum	placenta accreta spectrum
FOETO:PP.PAR-MET-004	Calcifications	placental calcifications
FOETO:PP.PAR-MET-005	Drépanocytose placentaire	placental changes of sickle cell disease with sickled maternal erythrocytes in the intervillous space
FOETO:PP.PAR-NOR-000	Parenchyme normal	normal villous parenchyma
FOETO:PP.PAR-NOR-001	ANSCT augmentés	increased syncytial knots
FOETO:PP.PAR-NOR-003	Autre (histo)	other histological finding
FOETO:PP.PAR-INF-011	MIR Stage 1 — Chorionite subchoriale aiguë	MIR stage 1 — acute subchorionitis
FOETO:PP.PAR-INF-012	MIR Stage 2 — Chorioamniotite aiguë	MIR stage 2 — acute chorioamnionitis
FOETO:PP.PAR-INF-013	MIR Stage 3 — Chorioamniotite nécrosante	MIR stage 3 — necrotizing chorioamnionitis
FOETO:PP.PAR-INF-014	MIR Grade 1 — Abcès décidual	MIR grade 1 — decidual abscess
FOETO:PP.PAR-INF-016	RIF1 — Vasculite choriale	FIR stage 1 — chorionic vasculitis
FOETO:PP.COR-NOR-000	Cordon normal	normal umbilical cord
FOETO:PP.COR-VAS-001	MAVM (meconium associated vascular myonecrosis)	meconium-associated vascular myonecrosis (MAVM)
FOETO:PP.VFU-NOR-000	Vaisseaux funiculaires normaux	normal umbilical cord vessels
FOETO:PP.WHA-NOR-000	Gelée de Wharton normale	normal Wharton jelly
FOETO:PP.AMN-NOR-000	Amnios normal	normal amnion
FOETO:PP.CHO-NOR-000	Chorion laeve normal	normal chorion laeve
FOETO:PP.DME-NOR-000	Décidue des membranes normale	normal decidua capsularis of the membranes
FOETO:PP.IAC-NOR-000	Interface amnios/chorion normale	normal amniochorionic interface
FOETO:PP.ICD-NOR-000	Interface chorion/décidue normale	normal choriodecidual interface
FOETO:PP.VAC-VAS-002	Endovasculite hémorragique allanto-choriale	hemorrhagic endovasculitis of the chorioallantoic vessels
FOETO:PP.VAC-VAS-003	FVM — Ectasie vasculaire choriale	FVM — chorionic vascular ectasia
FOETO:PP.PAR-VAS-013	MVM — Artériopathie déciduale	MVM — decidual vasculopathy
FOETO:PP.PAR-VAS-014	MVM — Hypoplasie villositaire distale	MVM — distal villous hypoplasia
FOETO:PP.PAR-VAS-015	MVM — Infarctus	MVM — villous infarct
FOETO:PP.PAR-VAS-022	NIDF — Travées (stade étendu)	massive perivillous fibrinoid deposition, trabecular (extensive) pattern
FOETO:PP.PAR-VAS-023	VUE High grade	high-grade villitis of unknown etiology (VUE)
FOETO:PP.PAR-VAS-024	VUE Low grade	low-grade villitis of unknown etiology (VUE)
FOETO:PP.PAR-VAS-027	NIDF — Îlots (stade focal)	perivillous fibrinoid deposition, focal islands
FOETO:PP.MEM-INF-008	MIR Grade 1	MIR grade 1 — mild patchy maternal inflammatory response in the membranes
FOETO:PP.MEM-INF-009	MIR Grade 1 — Abcès décidual	MIR grade 1 — decidual abscess of the membranes
FOETO:PP.MEM-INF-010	MIR Stage 1 — Chorionite subchoriale aiguë	MIR stage 1 — acute subchorionitis of the membranes
FOETO:PP.MEM-INF-011	MIR Stage 2 — Chorioamniotite aiguë	MIR stage 2 — acute chorioamnionitis of the membranes
FOETO:PP.PBA-VAS-001	Artériopathie déciduale de la plaque basale	decidual vasculopathy of the basal plate
FOETO:PP.PBA-VAS-002	Nécrose fibrinoïde de la paroi artérielle déciduale	fibrinoid necrosis of the decidual arterial wall
